StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,cute_calm,cute_nerv,cute_happy,cute_scared,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,scary_calm,scary_nerv,scary_scared,scary_happy,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,order,animal
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Happy,Click on the number following each adjective that best reflects how you are feeling. - Scared,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Scared,Click on the number following each adjective that best reflects how you are feeling. - Happy,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,order,animal
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""order""}","{""ImportId"":""animal""}"
2024-01-25 07:19:26,2024-01-25 07:19:39,0,131.229.81.104,100,13,1,2024-01-25 07:19:40,R_6JcpChh6EEP1ZGV,,,,,42.3251,-72.6276,anonymous,EN,,,,,,,,,,,,,,,,,0,0,1.146,0,0,0,1.056,0,cute_scary,dog
2024-01-25 08:55:34,2024-01-25 09:01:29,0,131.229.41.147,100,355,1,2024-01-25 09:01:30,R_7wnVEWFfRUgBxcq,,,,,42.3182,-72.6419,anonymous,EN,1.493,1.493,2.171,1,3,4,3,4,0,0,1.577,0,3,5,5,3,,,,,,,,,scary_cute,cat
2024-01-25 09:53:56,2024-01-25 09:55:11,0,131.229.159.248,100,75,1,2024-01-25 09:55:12,R_11v008ijGTPihIw,,,,,42.3182,-72.6419,anonymous,EN,,,,,3,1,4,1,,,,,1,2,2,1,0,0,2.98,0,0,0,1.976,0,cute_scary,dog
2024-01-25 09:53:25,2024-01-25 09:55:17,0,131.229.159.129,100,112,1,2024-01-25 09:55:18,R_7xYuJkQ0OcbFwSi,,,,,42.3182,-72.6419,anonymous,EN,0,0,5.012,0,5,1,5,1,0,0,5.12,0,3,2,2,4,,,,,,,,,scary_cute,cat
2024-01-25 09:54:33,2024-01-25 09:55:18,0,131.229.146.131,100,44,1,2024-01-25 09:55:18,R_3BxtrjW4UOgTTcx,,,,,42.234,-72.583,anonymous,EN,,,,,3,1,3,1,,,,,3,1,3,3,0,0,3.531,0,0,0,3.625,0,cute_scary,dog
2024-01-25 09:54:40,2024-01-25 09:55:18,0,131.229.159.247,100,38,1,2024-01-25 09:55:19,R_1N9fmCbDRXA5lFq,,,,,42.3182,-72.6419,anonymous,EN,,,,,5,1,5,1,,,,,1,2,1,2,0,0,1.559,0,0,0,2.227,0,scary_cute,dog
2024-01-25 09:54:09,2024-01-25 09:55:20,0,131.229.233.109,100,70,1,2024-01-25 09:55:21,R_7S65k9l15w6O0GN,,,,,42.1897,-71.2048,anonymous,EN,0,0,2.052,0,5,1,5,1,0,0,3.329,0,5,2,1,1,,,,,,,,,scary_cute,cat
2024-01-25 09:54:02,2024-01-25 09:55:21,0,131.229.137.90,100,78,1,2024-01-25 09:55:21,R_1VBD4k85u3AxkhX,,,,,42.3182,-72.6419,anonymous,EN,0,0,2.706,0,2,1,4,1,0,0,3.533,0,1,1,1,3,,,,,,,,,cute_scary,cat
2024-01-25 09:54:15,2024-01-25 09:55:23,0,131.229.151.134,100,67,1,2024-01-25 09:55:23,R_1Jjl4RKGJyRZ1xn,,,,,42.3182,-72.6419,anonymous,EN,,,,,3,1,3,1,,,,,3,3,1,3,0,0,1.591,0,0,0,3.951,0,cute_scary,dog
2024-01-25 09:54:44,2024-01-25 09:55:23,0,131.229.234.179,100,39,1,2024-01-25 09:55:24,R_1F29cyN08RG9Hd0,,,,,42.3182,-72.6419,anonymous,EN,,,,,4,4,5,1,,,,,1,5,3,1,2.874,2.874,5.018,1,0,0,4.212,0,cute_scary,dog
